,word,i,def
0,Articulate,0,Having or showing the ability to speak fluently and coherently
1,Articulate,1,Tending to talk a lot
2,Articulate,2,Communicated in a verbal manner
3,Articulate,3,Easy to understand
4,Articulate,4,"Showy in speech, language or writing"
5,Articulate,5,"Characterized by or capable of clear, sound reasoning"
6,Articulate,6,"Poised or dignified in style, tone, or form"
7,Articulate,7,Expressing opinions or feelings freely or loudly
8,Articulate,8,Well written
9,Articulate,9,Having two or more sections connected by a flexible joint
10,Articulate,10,Able to speak or write a particular foreign language easily and accurately
11,Articulate,11,To convey or express in a particular way or manner
12,Articulate,12,(usually anatomy) To form a joint or connect by joints
13,Articulate,13,To stress or emphasize
14,Economical,0,Characterized by economy and good management of money and resources
15,Economical,1,Giving good value or return in relation to cost
16,Economical,2,Very simple or plain in form or design
17,Economical,3,Significantly below an amount or level that is adequate
18,Economical,4,Giving good value or return in relation to time or effort expended
19,Economical,5,"Brief, concise, and to the point"
20,Economical,6,Returning a benefit that justifies the initial investment
21,Economical,7,Not ostentatious
22,Economical,8,Relating to the government or public affairs of a country
23,Calm,0,Tranquil in nature
24,Calm,1,"Free from negative emotions, such as anger"
25,Calm,2,Free from mental or emotional distress
26,Calm,3,Free from noise
27,Calm,4,(of waters) Still in nature
28,Calm,5,Having a gently calming effect
29,Calm,6,Done or happening without haste or in a leisurely manner
30,Calm,7,"Feeling, or wanting to feel, optimism about a future event"
31,Calm,8,(of one's conscience) Free of guilt
32,Calm,9,A state of peacefulness
33,Calm,10,"A state of being composed, typically in the face of adversity"
34,Calm,11,A state of being free from noise
35,Calm,12,The quality or state of being noiseless
36,Calm,13,Freedom from worries or problems
37,Calm,14,Freedom from civil unrest
38,Calm,15,A period or state of inactivity
39,Calm,16,The property of being motionless
40,Calm,17,The quality of being staid or solemn
41,Calm,18,To free from disturbance
42,Calm,19,To restore emotional balance
43,Calm,20,(calm down) To become calm (after feeling agitation or stress)
44,Calm,21,"To free from fear, doubt or anxiety"
45,Studious,0,Spending a lot of time studying or reading
46,Studious,1,Showing great care or attention
47,Studious,2,Done deliberately or with a purpose in mind
48,Studious,3,"Directing a great deal of attention, interest, or activity towards a particular aim"
49,Studious,4,Expressing or involving deep thought
50,Studious,5,Having or showing a deeply inquisitive nature or intent
51,Studious,6,Devoted to a task or purpose
52,Studious,7,"Serious, thoughtful or earnest in appearance"
53,Intelligent,0,Having or showing a reasonable or high level of intellect
54,Intelligent,1,Possessing insight
55,Intelligent,2,Clever in surreptitious behavior
56,Intelligent,3,Having the ability of reasoning or thought
57,Intelligent,4,(especially in conduct or speech) Exhibiting good judgment and restraint
58,Intelligent,5,Possessing a reasonable or high level of artificial intelligence
59,Intelligent,6,Quick to notice or perceive things
60,Intelligent,7,Funny and clever
61,Intelligent,8,"Having a vigorous, independent will and views"
62,Intelligent,9,"Intellectuals or highly educated people as a group, especially when regarded as possessing culture and political influence"
63,Clear,0,Easy to understand
64,Clear,1,Clearly or explicitly expressed or defined
65,Clear,2,Free from ambiguity
66,Clear,3,Very specific or precise
67,Clear,4,To be in certain in one's mind
68,Clear,5,Transparent or unclouded
69,Clear,6,To stand out from being far superior to one's peers
70,Clear,7,"Free of cloud, mist, or rain"
71,Clear,8,"Without defects or blemishes, including freckles or knots"
72,Clear,9,(of a sound or voice) Audibly distinct
73,Clear,10,Open and unimpeded by obstructions
74,Clear,11,"Empty, free of people or things"
75,Clear,12,Free of something undesirable
76,Clear,13,(of one's conscience) Free of guilt
77,Clear,14,Complete or full
78,Clear,15,Giving off or reflecting light
79,Clear,16,Visibly noticeable
80,Clear,17,Having the ability to perceive clearly
81,Clear,18,(especially of a title) Free from any encumbrance or limitation that presents a question of fact or law
82,Clear,19,Reasonable and convincing
83,Clear,20,"Characterized by fullness, strength and depth, especially of sound"
84,Clear,21,Very easy or involving minimal effort
85,Clear,22,Serving to resolve or settle something
86,Clear,23,"Producing powerful feelings or strong, clear images in the mind"
87,Clear,24,"Done in a systematic way, using experiments or tests"
88,Clear,25,Having a harmonious sound
89,Clear,26,"Optimistic or positive, especially in an apparently bad or difficult situation"
90,Clear,27,"(of sound) Clear and vibrant, typically high-pitched"
91,Clear,28,Not likely to harm or injure
92,Clear,29,Vigorously keen or severe in expression or style
93,Clear,30,Exempt from an obligation
94,Clear,31,In an empty or unmarked condition
95,Clear,32,Eloquent and able with regards to speech
96,Clear,33,Able to be navigated through or traveled on
97,Clear,34,(of sound or color) Free from anything that dulls or dims
98,Clear,35,Made easy
99,Clear,36,Without clutter
100,Clear,37,Not closed or fastened
101,Clear,38,(of profit or earnings) Remaining after the deduction of tax or other contributions
102,Clear,39,"Of facial complexion, smooth, with attractive yellow-pink coloring"
103,Clear,40,"In an auditorium or sports venue, the line of side-by-side seats closest to the stage, playing field, or other location where the activity of interest is occurring"
104,Clear,41,Free from physical restraint or confinement
105,Clear,42,Having normal visual acuity
106,Clear,43,Without harm or punishment
107,Clear,44,Empty of meaning or value
108,Clear,45,"Bright and colorless, due to the reflection of all visible rays of light"
109,Clear,46,Bare or exposed without a covering or protection
110,Clear,47,Tranquil in nature
111,Clear,48,Offering or producing the greatest advantage
112,Clear,49,(of the weather) To become brighter
113,Clear,50,To gradually go away or disappear
114,Clear,51,To remove unwanted items from
115,Clear,52,To rid an area of obstructions
116,Clear,53,To empty a given space
117,Clear,54,To cause people to leave a building or place
118,Clear,55,To pay off one's debts
119,Clear,56,To physically get or pass over something
120,Clear,57,To remove from suspicion
121,Clear,58,To provide authorization or clearance to
122,Clear,59,To earn a profit of
123,Clear,60,To remove impurities from
124,Clear,61,To unclog something tubular or cylindrical
125,Clear,62,(clear up) To cause to be clear from ambiguity
126,Clear,63,To make someone (or a group) familiar with or knowledgeable about something
127,Clear,64,To physically remove or eliminate
128,Clear,65,"To set free, especially from entanglement or difficulty"
129,Clear,66,To unload or empty out (from a container)
130,Clear,67,To make available
131,Clear,68,To pat lightly and quickly to clean or wipe away
132,Clear,69,To find a way through (an obstacle or difficult route)
133,Clear,70,To clean by sweeping
134,Clear,71,To remove people from a place
135,Clear,72,To clear a check when due
136,Clear,73,Pick over
137,Clear,74,Remove fog
138,Clear,75,To make not set
139,Clear,76,"To move, demolish, or flatten with a bulldozer"
140,Clear,77,To move or depart to another place
141,Clear,78,To put away or aside (for later use)
142,Clear,79,To climb up or over (something high and steep)
143,Clear,80,To become open
144,Clear,81,To run away
145,Clear,82,To remove or undo a snarl or tangle
146,Clear,83,To escape or get away from
147,Clear,84,To throw away or remove (something) from a place or container
148,Clear,85,To send away or order to leave
149,Clear,86,To kill or take the life of
150,Clear,87,To separate or cause to be separated into constituent parts or components
151,Clear,88,To wash something by rinsing or flooding with water
152,Clear,89,(of colors) To render pale or less bright
153,Clear,90,To show or prove to be right or reasonable
154,Clear,91,To peel or remove the outer layer of
155,Clear,92,To make smooth or glossy by applying surface pressure
156,Clear,93,To bring or come to an end
157,Clear,94,(clear of) So as to be out of the way of or away from
158,Clear,95,In a manner that is clear and intelligible
159,Clear,96,All the way
160,Clear,97,From start to finish
161,Clear,98,"At a distance (away), literally or figuratively"
162,Clear,99,An act of sweeping or clearing away with a brush or with one's hand
163,Multifaceted,0,Having multiple facets or able to do many things
164,Multifaceted,1,"Deriving ideas, style, or taste from a broad and diverse range of sources"
165,Multifaceted,2,"Made up, or consisting of, several parts or elements"
166,Multifaceted,3,Made up of a complex mix of elements
167,Multifaceted,4,Having many facets
168,Multifaceted,5,Built or designed with a high level of creativity or knowledge
169,Advanced,0,Being advanced in development
170,Advanced,1,Past the level of being elementary
171,Advanced,2,(education) Past the level of being elementary
172,Advanced,3,Marked by refined and cultured behavior
173,Advanced,4,Completed before need or a milestone event
174,Advanced,5,"Able to produce results, or cause effects"
175,Advanced,6,Happening or done before the usual or expected time
176,Advanced,7,"Bearing good value, worth or reliability"
177,Advanced,8,Advocating political or social changes and reforms associated with liberalism
178,Advanced,9,"Extremely unconventional, unusual, or avant-garde"
179,Advanced,10,Fully developed
180,Advanced,11,"In an old, advanced or mature state or age"
181,Advanced,12,Having received for temporary use
182,Advanced,13,Not conservative
183,Advanced,14,Submitted for consideration or approval
184,Advanced,15,Relating to or denoting a course of study undertaken after completing a first degree
185,Advanced,16,Showing willingness to allow the existence of opinions or behaviour that one does not necessarily agree with
186,Advanced,17,Comprehensive and far-reaching in nature
187,Advanced,18,In a leading position
188,Advanced,19,Having much experience in a particular field
189,Advanced,20,(led to) To have culminated or resulted in a particular event or consequence
190,Advanced,21,To have made a quantity bigger
